sentence,sentiment,dictionary_classification
"stora enso also meeting labor authority , employment economic development centres representative government order find solution .",neutral,neutral
astrazeneca profit sale stalwart fade,negative,negative
"rt @andrewnyquist chartology : yahoo : $ yhoo crazy look chart , near breakout resistance line ...",positive,positive
bullish stock twitter dip . $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty :,positive,positive
"finnish geosentric ' net sale decrease eur , january - march .",negative,-1
"cohen & steers , inc. : share represent . % share capital voting right .",neutral,neutral
staff recruit japan complement network close service location country worldwide .,positive,positive
"paper company negative territory , stora enso r shedding . pct . eur , upm - kymmene . pct . eur -real b . pct low . eur .",neutral,-1
kauko - telko ' centralized administration dissolve appropriate part transfer operating activity group administration end year .,neutral,neutral
operate profit quarter april - june amount eur . sale eur . bn .,neutral,neutral
atria choose delight attract consumer - age group atria fresh range microwaveable meal .,neutral,neutral
"finnish solution provider affecto oyj hel : afev say today slip net loss eur , usd , second quarter profit eur , correspond period year early .",neutral,-1
us sanction put gazprom - shell alliance plan jeopardy,negative,negative
"profit period eur . mn , eur . mn .",neutral,-1
"profit period eur . mn , eur . mn .",positive,-1
operate profit fall eur . mn eur . mn second quarter .,neutral,-1
"however , sale return growth april - june , ceo pekka eloholma say .",positive,positive
operate profit total eur . mn . % net sale .,neutral,-1
"change market situation tough price competition substantially reduce demand bread packaging manufacture kauhava plant , accord company .",negative,-1
"connection deal , digia employ person nokia oslo silicon valley usa .",neutral,neutral
"brazilian unit finnish security solution provider f - secure sign , new client last year , online news source reseller web quote division ' commercial director , vladimir brand+úo , say .",positive,positive
fair value company ' investment property go eur . billion end eur . billion year early .,neutral,-1
"dealer say share largely hit investor disappointment refining margin . usd per barrel quarter performance shipping unit , see ebit drop mln eur mln eur year amid fall volume tanker rate .",negative,-1
"` testament quality lte solution commitment japanese market ' , add .",neutral,neutral
company ' aim finalize negotiation sign contract start october .,neutral,neutral
"metso foundries jyvaskyla oy discontinue production line september , company say .",neutral,neutral
"total six poll analyst rate -real -- two give ` ` buy '' - ` ` accumulate '' , three give ` ` hold '' one give ` ` sell '' .",neutral,neutral
"september , finnish group agree buy danish company rose poultry - eur . combination cash stock .",positive,positive
$ yang double bottom .,positive,positive
tesco share price grocer face sfo investigation outcome,negative,negative
$ aapl news become bullish,positive,positive
"gs engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais , uae .",neutral,neutral
percentage share voting right calculate proportion total number share register trade register total number voting right relate .,neutral,neutral
"-real say ` ground ' rumor , ` circulate market month . '",neutral,neutral
"lember say matter topical also estonia , bill draft social affairs ministry would scrap old - age pension favorable condition .",neutral,neutral
- moody ' say give p long - term senior unsecured p p- short - term debt rating finnish lender aktia bank ' eurbn usd . bn euro medium - term note emtn program march .,neutral,neutral
$ tsla recall,negative,-1
"liquidity provide interrupt may , aspocomp group oyj ' share trade . cent ( aspocomp ' stock exchange release .. ) .",neutral,-1
hargreave lansdown buck weak market see asset rise . percent,positive,positive
". pm , omx helsinki index . pct low , . .",negative,-1
"decision mean temporary lay - off fix duration company ' nastola jyvaskyla unit , southern central finland , respectively .",neutral,-1
value order eur mn .,neutral,neutral
ms laakso responsible hkscan ' hr function development group ` smarket area .,neutral,neutral
"fiskar also engage global supply marine energy equipment solution service associate company , wartsila corporation .",neutral,neutral
aberdeen asset management gains foothold china,positive,positive
finland ' dominate rail company vr planning set infect passenger long - distance trip separate carriage .,neutral,neutral
"november , finnish government decrease ownership company . percent percent .",neutral,neutral
"finnish exel composites , technology company design , manufacture , market composite profile tube various industrial application , report net sale decrease . % second quarter eur . mn eur . mn corresponding period .",neutral,-1
"bavelloni ' nst ' joint venture , bavelloni tools , complete semiproduct produce italy high - quality tool sell diapol brand .",neutral,neutral
tool patent pende design allow consumer lie entire project removable plate use multiple clear stamp kind .,neutral,neutral
$ googl short upper bb overbought,negative,negative
"lights curfew , curl late bestseller treat eye perfect reading light luceplan .",neutral,neutral
"upm - kymmene corp. , world ' large maker magazine paper , tuesday report -percent profit drop low paper price , high cost strong euro hurt revenue .",negative,-1
total value contract eur million .,neutral,neutral
"prerequisite inclusion program receipt gain key employee acquire aspo share amount determine board advance , maximum .",neutral,neutral
mr. doring eaton since act business unit manager eaton ' power controls business unit since january .,neutral,neutral
"sq , sq ft store copenhagen ' premier shopping district inaugurate today , strengthen company ' presence nordic capital .",positive,positive
"financial statement first quarter , tikkurila report discontinued operation .",neutral,neutral
"world ' second large stainless steel maker say net profit three - month period dec. surge euro million us$ million , euro . us$ . per share , euro million , euro . per share , previous year .",positive,positive
"name applicant : jot automation oyname inventor : mammila tuomo , piirainen mika kellokoski mikaapplication . : -kolnp- adate filing application : --publication date : //",neutral,neutral
netflix grow efforts create loyal customers $ nflx,positive,positive
"omx nordic omxn index , comprise trade nordic stock nasdaq omx exchange , close . % , . point thursday .",negative,-1
$ aapl nibble small long via .. buy min chart ..,positive,positive
operate margin aker yards cruise & ferries division go . % . % first quarter .,negative,-1
"$ tyc break new high , lot technical look great right .",positive,positive
"eero katajavuori , currently group vice president , human resources , take year - long sabbatical starting october , .",neutral,neutral
"what s $ lulu ? number look good , great , good . think conference call instill confidence .",neutral,neutral
adjustment measure carry phase secure delivery capability .,neutral,neutral
"alma media corporation press release march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper , tyrvaan sanomat paikallissanomat , appear sastamala neighbouring municipality , buy suomen paikallissanomat oy .",neutral,neutral
"temporary lay - off , affect entire workforce , also implement .",negative,-1
"meet medium analyst hold day : .. stonesoft headquarters helsinki , italahdenkatu . interim report present stonesoft ' ceo ilkka hiidenheimo .",neutral,neutral
"finnish sampo - rosenlew manufacture approximately seven forest machine monthly , half machine export .",neutral,neutral
"facebook , near buy point last week , face different technical test today $ fb $ aapl $ nflx",positive,positive
"february - finnish broadband datum communication system provider teleste oyj hel : tltv say wednesday net profit rocket eur . eur , lift dividend proposal .",positive,positive
$ free ha heeeeeere comes pump ! glad pick k end day ! get ready bull ride !,positive,positive
"finnish technology group aspocomp group oyj ( omx helsinki : acgv ) issue third quarter report thursday ( november ) , post operating profit eur . , compare loss eur . third quarter .",positive,positive
"build complex consist high - quality office retail space totalling , square metre , company say .",neutral,neutral
finnish insurance company fennia kesko group end loyal customer cooperation .,neutral,-1
unit plan operational second half full stream .,neutral,neutral
"itg ' share deal estimate , euro $ , .",neutral,neutral
plant expect enter commercial operation mid- .,neutral,neutral
aspo also investigate sale opportunity kaukomarkkinat ' electronics business .,neutral,neutral
bg group appoint new ceo one month early,neutral,neutral
acquisition immediate positive impact aspocomp ' financial result .,positive,positive
"finnair ' passenger load factor , measure number sell seat share available seat , drop . percentage point . % september .",negative,-1
rt @bman $ lng looks prime also $ eght poise run ...,positive,positive
also . pct -month volume weight average price stock .,positive,positive
coke dividend - % . google dividend - % . passive income coke take . $ goog $ ko,neutral,neutral
"profit tax eur . mn , eur . mn year early .",positive,-1
subsidiary set facility manufacture high - density interconnection print circuit board pcb nokia ' special economic zone sriperumbudur near chennai .,neutral,neutral
$ crm sep call + % since entry # bang,positive,positive
"january - june , dilute loss per share stand eur . versus eur . first half .",negative,-1
rapala say estimate make saving - mln eur year centralise french operation one site .,positive,positive
$ vmw get nice push today follow small sweeper may c morning,positive,positive
top consensus forecast earning . euro share .,positive,positive
r & loan ) .,neutral,-1
"future , company intend look know- outside company cooperate actor sector .",positive,positive
"need ready window open , rosberg say .",neutral,neutral
", tonne asphalt mix use contract .",neutral,neutral
"pa ) , jpmorgan chase co ( nyse : jpm ) pohjoa bank joint lead - manager senior , unsecured deal .",neutral,neutral
$ ctrp break good vol parser buy signal .. notice bob lang comment look fast,positive,positive
"sale finland decrease . % january , sale outside finland drop % .",neutral,-1
"pulp production finnish kemij+ñrvi also liquidate , employee loose job .",negative,-1
nordea cheap also couple debt .,neutral,neutral
"jussi pesonen , member sampo board since , renounce seat sampo board .",neutral,neutral
"tesla recall , model x car : $ tsla",negative,negative
"adjust change group structure , division ' net sale increase . % .",positive,positive
"make matter difficult , company say grapple high oil gas price , push cost energy , raw material transportation .",neutral,-1
amend proposal simplifie propose plan increase incentive key employee stay company .,positive,positive
solution expand include ground staff task .,neutral,neutral
"operate loss total eur . mn , compare profit eur . mn third quarter .",negative,-1
"# fedday look sharp move equity $ aapl $ hd $ low $ fb see $ uvxy $ tvix getting hammer , even though market .",positive,positive
"net sale total eur . mn , eur . mn corresponding period .",positive,-1
consequence works council withdraw petition suspend reorganisation .,neutral,neutral
ceo erkki j+ñrvinen happy company ' performance .,positive,positive
"comparable net sale expect increase % , line group target .",positive,positive
"follow transaction , lundbeck worldwide right nalmefene , exclude north america , mexico , turkey south - korea .",positive,positive
"government start sell- last month , put percent stake teliasonera auction bloc .",neutral,neutral
"report goes provide detailed profile ten lead european specialty chemical company , brief profile major player .",neutral,neutral
"operate profit net sale three - month period increase , respectively eur . eurm , compare correspond quarter .",positive,positive
company expect net sale whole previous year level .,neutral,neutral
"company headquarter sievi , finland , list nordic exchange helsinki .",neutral,neutral
"commission income increase % eur . mn , lending volume rise . % .",positive,positive
"finnish company sell uk operation - consist staff office london , birmingham manchester - part deal hampden july european - wide property casualty arm sampo industrial .",neutral,neutral
"build home improvement trade , sale decrease . % eur . mn .",negative,-1
"innova building locate close downtown , immediate vicinity paviljonki travel center , within walk distance heart city thank trade fair bridge .",neutral,neutral
"finnish textile clothing group marimekko oyj post net profit . mln euro $ . mln , compare . mln euro $ . mln .",neutral,-1
main strength cooperation project lie merge know- two large company .,positive,positive
shareholder right put agenda agm item within competence general meeting .,neutral,neutral
kazgiprotsvetmet outotec finland sign agreement strategic cooperation marketing provide mineral process metallurgical plant relate service kazakhstan surround country .,positive,positive
"due rapid decrease net sale , personnel reduction carry wide scale initially expect .",neutral,-1
government instead propose exchange state ' stake lmt teliasonera ' stake lattelecom .,neutral,neutral
stora due release fourth - quarter full - year earning feb. .,neutral,neutral
full - year operating result . million negative .,neutral,-1
$ nq got hit hard low -- > look like find support .,negative,negative
", avc systemhaus net sale eur million usd . .",neutral,neutral
"company establish g base station , foot foot mount everest enable mountain climber , -foot summit surf internet even send video exploit .",positive,positive
offer customer solution base renewable raw material .,neutral,neutral
survey conduct taloustutkimus sampo life show company badly prepared lose key staff member .,neutral,-1
"antti orkola , president kemira growhow ' industrial solutions unit , tell thomson financial news company put opening mine price phosphate ` quite depressed long time ' . '",neutral,-1
pretax profit group ' life insurance business increase eurm eurm .,positive,positive
make available follow brand - new market analyse cement - pakistan cement - malaysia cement - taiwan cement - philippines analysis give clear overview actual situation future outlook cement industry asian country .,neutral,neutral
"company serve approximately , customer country .",neutral,neutral
rt @alphatrend vmarkets still acting weak $ spy $ qqq $ xlf $ smh $ iwm,negative,negative
"operate profit total eur . mn , eur . mn year early .",neutral,-1
"one instal elevator double - deck elevator , enable efficient use build ' core space .",positive,positive
helsinki ( afx ) - outokumpu say agree sell hitura nickel mine finland canadian group belvedere resources ltd mln eur worth belvedere share .,neutral,neutral
go long $ ilmn,positive,positive
` ` social networking location - base service trend comprise significant share internet traffic today appeal mid user .,neutral,neutral
total % order value book fourth quarter remainder book second quarter .,neutral,neutral
johnson matthey share price slump company post full - year result,negative,negative
previous share subscription stock option .,neutral,neutral
affectogenimap build highly customise solution customer finland baltic country .,neutral,neutral
"close transaction schedule take place january , .",neutral,neutral
"however , offer probably make current valuation , partly derive deal company merge stock market shell .",neutral,neutral
"operate result -month period decrease profit eur . turnover decrease eur . , compare .",neutral,-1
administrator indicate need job cut irish insurer next month .,neutral,-1
net sale expect level .,neutral,neutral
technical indicator stock bullish & p give nok positive star buy ranking .,positive,positive
"revenue quarter total . billion , percent . billion fourth quarter .",negative,-1
n - viro operate process facility independently well partnership municipality .,neutral,neutral
number bodily injury case quadruple - .,negative,-1
"accord ringman , finnish paper company acquire know- capacity paper recycling , turn successful strategy .",positive,positive
company also say poland profitability program launch oborniki steel frame sandwich panel plant .,positive,positive
u .. energy executive say high steel price threaten energy exploration .,negative,-1
tesco sale rise show tentative recovery continue,positive,positive
"finland , launch tie- sale g mobile phone cause dramatic rush mobile retail outlet first day .",neutral,neutral
$ nuan hold well big gain ! maybe ' finally move ! ! still undervalue major upside,positive,positive
"company split two part come month , essent own operating production supply , enexis own operating grid .",neutral,neutral
official disclose contract value .,neutral,neutral
"london ' lead share today jump almost point , . % , market open .",positive,positive
"third quarter fiscal efore swung net loss eur , versus net profit eur , correspond period fiscal .",neutral,-1
"group ' operate loss eur . mn , profit eur . mn .",neutral,-1
move trigger weak demand forestry equipment uncertain market situation .,negative,-1
combine company pro - forma net sale mln euro $ . mln operating profit mln euro $ . mln .,neutral,neutral
manage director kari inkinen say sponda ' leasing operation develop highly favourably .,positive,positive
march - goldman sachs estimate negative prospect norwegian mobile operation norway ' telenor asa osl : tel sweden ' teliasonera ab sto : tlsn short term .,negative,-1
"$ tsla steaming , stock relentless moment",positive,positive
marathon estimate value remain stake protalix $ million .,neutral,neutral
whitbread share price climb q sale growth,positive,positive
incap contract manufacturing subsidiary incap corporation finland .,neutral,neutral
"operate profit total eur , mn , slightly eur . mn corresponding period .",positive,positive
"go market yield guidance . % area , give we flexibility go -th .",neutral,neutral
"rt @stockdemon think short close might play , $ spy - high beta reversing .. look worth shot",negative,negative
"vdw combine lxe device enhance productivity , enable worker use single device perform voice , scan keyboard function .",positive,positive
"thus method cut working cost , fasten planning building process .",positive,positive
talentum ' net sale september small expect .,negative,-1
copyright afx news afx financial news logo register trademark afx news limited,neutral,neutral
$ lnkd daily phase ret - price experience early rejection . retest ?,negative,negative
rbs reportedly appoint howard davies next chairman,neutral,neutral
"tesco , asda sale fall march discounter continue - kantar",negative,negative
` ` new version important we introduce bim process base detailed building information model .,neutral,neutral
sampo plc jarmo salonen head investor relations group communications tel . + distribution : nasdaq omx helsinki principal medium financial supervisory authority announcement distribute thomson reuters behalf thomson reuters client .,neutral,neutral
.@barronsonline see # apple $ /share year ( + % today ) grow service business . $ aapl,positive,positive
pharmaceutical market poland global research & data services publish recently market analysis pharmaceutical market poland .,neutral,neutral
altogether finnair cancel flight strike .,negative,-1
"employer , together health personnel , support quit pay part cost nicotine treatment .",neutral,neutral
pretax loss total eur mn compare loss eur mn corresponding period .,neutral,-1
order include ship crane deliver container feeder build wenchong shipyard china .,neutral,neutral
"copper , lead nickel also drop ... hbos ( hbos ) plummet % . penny say year+ó ? ?",neutral,-1
$ goog testing day consolidation,positive,positive
"join technopolis kone hold various position within group , recently director service business business development kone middle eastern operation .",neutral,neutral
"succeed increase market share sell apartment '' , comment mr kari kauniskangas , head yit international construction services .",positive,positive
"profitability ( ebit % ) . % , compare . % previous - year period .",positive,-1
"finnish geosentric ' net sale decrease eur , january - march .",neutral,-1
"plant schedule completion late february hand area january two supplier nokia - aspocomp group oyj perlos - announce plan establish plant within nokia complex together , invest r crore .",neutral,neutral
- upm - kymmene upgrade ` -line ' ` underperform ' goldman sachs .,positive,positive
slump weir lead ftse record high,negative,negative
"jan. -- ford struggle face slow truck suv sale surfeit --date , gotta- car .",neutral,-1
"royal mail ' breach competition law ' delivery service change , ofcom claim",negative,negative
"cooperation involve arena partners buy % share new joint venture company , operate alma media ' home sale , vehicle consumer advertising marketplace business .",neutral,neutral
efore plant saarijarvi central finland one large employer region .,neutral,neutral
however short - term rental become popular .,neutral,neutral
emsa deputy chairman board juri lember tell bns wednesday first time hear strike swedish side inform estonian union yet .,neutral,-1
tesco close new chairman dixons carphone ' john allan frame,positive,positive
"device offer multimedia performance along host productivity application , include live stock price .",neutral,neutral
"sale climb . pct . bln eur , surpass mln eur consensus figure .",positive,positive
$ fb turn back early trading ....,negative,negative
"utah ' capital want next u .. headquarters amer sports corp. , ski - equipment company .",neutral,neutral
old mutual first - quarter sale % buoy emerging market,positive,positive
"dividend payable february , shareholder record january , .",neutral,neutral
"sale finland decrease . % january , sale outside finland drop % .",negative,-1
"furthermore , bunge also sign licensing agreement sunnuntai carlshamn mejeri brand .",positive,positive
"kesko corporation stock exchange release .. . ( ) kesko corporation aspo plc today sign agreement aspo acquire share capital kauko - telko ltd , subsidiary wholly own kesko .",positive,positive
$ lulu # outlook # q # lose revenue range $ million $ million - good,negative,negative
mobile communication wireless broadband provider nokia inc nyse : nok today set new financial target forecast nokia mobile device industry also nokia siemens networks mobile fix infrastructure relate service market .,neutral,neutral
"poyry plc additional information : heikki malinen , president ceo , poyry plc tel . + poyry global expert consulting engineering .",neutral,neutral
danish company flsmidth acknowledge violate patent hold finnish metso .,neutral,-1
amanda capital investment private equity fund unquoted company mainly europe .,neutral,neutral
"net interest income eur . mn , eur . mn .",positive,-1
"jeder beta - tester erh+ñlt kostenlos sechs monate lang updates und hat laut eigener aussage die + âglichkeit , die finale version zu beeinflussen .",neutral,neutral
"jp morgan expect scala low nobel biocare ' growth forecast current guidance - pct , well operate margin target current - pct .",neutral,-1
aviva promise high dividend boost flag share price,positive,positive
"addition , mid always online enable full internet browsing .",neutral,neutral
"fiskar strong portfolio international brand , include fiskars , iittala , gerber , silva buster .",positive,positive
# tesla : model x recall add reliability issues $ tsla,negative,negative
name buyer disclose .,neutral,neutral
net sale vegetable oil business rise eur . mn eur . mn .,positive,positive
"agreement benefon ' forthcoming range twig integrate gps navigation mobile phone device use jointly develop web - base tracking location technology , consumer commercial application .",neutral,neutral
"follow increase huhtamaki ' register share capital eur . number share outstanding , , .",neutral,neutral
"three year turn - around program expect ensure salomon ' future competitiveness , company say .",positive,positive
"autumn , plan expand service st. petersburg moscow launch service yekaterinburg , russia , fly three time week .",positive,positive
"company ' profit total ls , h , . % year -- year .",negative,-1
federal secretary transport communication mexico award poyry mexican partner sintra consult contract connection buenavista - cuautitlan suburban railway .,positive,positive
fda approve astrazeneca drug advanced lung cancer,positive,positive
order include metso ' fourth quarter order backlog .,neutral,neutral
lieksaare oy early regard control saarelainen oy individual shareholder shareholder agreement .,neutral,neutral
"ragutis , control finnish brewery , report .-per - cent rise beer sale . million litre hold .-per - cent market share .",positive,positive
$ mcp roll new intraday low . bottom pickers continue get destroy,negative,negative
company annual turnover eur . .,neutral,neutral
branch finland annual revenue finland ?,neutral,neutral
"portfolio comprise , leasable space vacancy rate roughly % , let around tenant two large swedish government ericsson .",neutral,neutral
wpp boost sale despite cautious client,positive,positive
medium - term operative target company remain unchanged .,neutral,neutral
"adp news - feb , - finnish retailer kesko oyj hel : kesbv say today total sale , exclude value add tax vat , stand eur . million usd . january , . % year -- yea",negative,-1
` ` consumer well receive pack fresh meat .,positive,positive
correct chapter entirety .,neutral,neutral
"major part delivery include different ac cxe amplifier solution product dinh telecom , company acquire teleste last spring .",neutral,neutral
"tietoenator use nokia ' intellisync mobile suite ' wireless email , calendar , device management capability , company extend service customer .",positive,positive
provide heating form hot water sawmill ' need .,neutral,neutral
"however , net sale decline eur . million eur . billion .",negative,-1
"second quarter , raute ' net loss narrow eur , eur . million period .",positive,positive
"$ dgi technical alert : gilligan ' island buy setup , stochastic buy signal , lizard bullish , hammer candlestick , wid ...",positive,positive
"record date dividend distribution march , .",neutral,neutral
( & h ) move enhance growth .,positive,positive
"ebrd use fund provide . million loan b portion million euros syndicate two finnish commercial bank , nordea bank finland plc . million euros pohjola bank plc . million euros .",neutral,neutral
"stockholm , march cybercom cybercom group high - tech consultancy offer global source end -- end solution .",neutral,neutral
say lose five family month economy many make alternative arrangement save money .,negative,-1
"milan ( afx ) - italian shipping group grimaldi increase stake finnish company finnlines . pct . pct hold june , accord news agency ansa .",neutral,neutral
"comment deal , shane lennon , svp marketing & product development gypsii say : ?",neutral,neutral
"external net sale printing business fall . % , partly due termination printing contract ilkka - yhtyma ' print house -print oy sector player hss media ab december fall printing price .",neutral,-1
"group intend relocate warehouse office space loudeac saint marcel morvillars , east country , already operate hook manufacture distribution unit .",neutral,neutral
"firm headquarter vantaa , southern finland employee .",neutral,neutral
". pm , omx helsinki . pct low , . omx helsinki . pct , . volume mln eur .",neutral,-1
"honor recognize gartner specialist business process model analysis , company many large software vendor world .",positive,positive
"westpac banking corp - issue benchmark , year frn deal euros .",neutral,neutral
"include company brand share datum category , well distribution channel datum .",neutral,neutral
new share subscribe stock option shareholder right commence date enter trade register .,neutral,neutral
$ aapl price momentum weakening go close .,negative,negative
acquisition solteq expand solution offer microsoft ' dynamics business software product .,positive,positive
"company ' profit total ls , .",neutral,-1
"leed internationally recognize green building certification system , develop u .. green building council .",neutral,neutral
"however , market share shrink . per cent per cent year early .",negative,-1
talktalk hire bae systems investigate cyber attack,negative,negative
look like book one way ticket week near . lose week $ lulu,neutral,neutral
"ftse lead low & , glaxosmithkline",negative,negative
exercise price option base safran software solutions ' license maintenance sale well result company .,neutral,neutral
full - year operating result . million negative .,negative,-1
"company say production volume far indicate circuit capable target output rate , tonne per day , million tonne year .",neutral,neutral
"jun. , ( boy genius report deliver newstex ) -- nokia ( nyse : nok ) n , huh ?",neutral,neutral
"` ` come decision base preliminary economic , operational environmental finding , '' karvinen say .",neutral,neutral
"new majority owner aspocomp thailand co. , ltd certain private person belong immediate circle aspocomp ' present joint venture partner , saha pathana inter - holding plc . .",neutral,neutral
". mln euro ( $ . mln ) base acquisition price pay cash rest subscription offer total , new ixonos share .",neutral,neutral
"establish , srv group private finnish construction concern operation finland , baltic country russia .",neutral,neutral
business section also include ahlstrom ' sustainability report .,neutral,neutral
"+ £ lemiste city environment knowledge - base economy provide work , people total turnover company amount eek . bn , '' say + £ lo p+ñrnit , chairman supervisory board + £ lemiste city mainor .",neutral,neutral
jacobs support storengy ' investment develop storage site since owner ' engineer .,neutral,neutral
"company early say consider different strategic option struggle low - cost mobile operator , include divestment holding .",neutral,neutral
"sainsbury ' , asda , tesco morrison cut petrol price oil fall ...",negative,negative
barclay sell benchmark index unit bloomberg,positive,positive
operate profit fourth quarter fall eurm eurm year early .,neutral,-1
finnish forestry company upm - kymmene waste management company lassila & tikanoja say jan. planning produce ethanol energy commercial industrial waste .,neutral,neutral
"isms disclose financial result , daily say .",neutral,neutral
"contract cover manufacturing , surface - treatment installation steel structure .",neutral,neutral
finnish metal industry solution supplier outotec oyj net profit rise . mln euro ( $ . mln ) first nine month . mln euro ( $ . mln ) period .,positive,positive
"deal , know pay sekm ( usd . -eur . ) cash stock .",neutral,neutral
"first nine month , company ' net profit rise eurm eurm corresponding period .",positive,positive
"$ aapl dma turn , macd crossover half -- hair away weekly . eod break likely .",positive,positive
protalix $ million cash sale .,neutral,neutral
bearish outside day tuesday significant . day resistance still intact . opinion $ sds,negative,negative
right reserve .,neutral,neutral
"operate nokia , support nokia netact network service management system .",neutral,neutral
"mr priit kasak , balti metsamasina ' owner , say rakvere - base company wish increase valmet ' market share % third couple year .",positive,positive
shire see baxalta deal closing expect new rules,positive,positive
sainsbury cfo rogers replace home retail ceo walden,neutral,neutral
"marathon . percent stake plx , say , accord bloomberg .",neutral,neutral
"simmons elected dcuc chairman portsmouth , n.h.-gordon . simmon , ceo service credit union , elect chairman defense credit union council - term .",neutral,neutral
sanoma news ' advertising sale decrease % year .,negative,-1
pharmaceutical market czech republic global research & data services publish recently market analysis pharmaceutical market czech republic .,neutral,neutral
"finnish construction company yit reduce number start - ups market - finance residential unit , previously announce , .",neutral,-1
cash flow operations recent quarter also reach eight year low .,neutral,-1
