id,tweet,tweet_cleaned,nouns,verbs,adjectives,positive,negative,sentiment
2402,2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,2010 spend hour make something fun . . . ' know HUGE RhandlerR fan Maya one favorite character . decide make wallpaper PC . . original image versus creation make :) enjoy !,7,5,4,8,0,Positive
2403,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF  ","rock - Hard La Varlope , RARE & POWERFUL , HANDSOME JACKPOT , Borderlands 3 ( Xbox )",1,0,0,2,1,Neutral
2403,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF","rock - Hard La Varlope , RARE & POWERFUL , HANDSOME JACKPOT , Borderlands 3 ( Xbox ) dlvr . / RMTrgF",2,0,0,2,1,Neutral
2403,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF","rock - Hard La Varlope , RARE & POWERFUL , HANDSOME JACKPOT , Borderlands 3 ( Xbox ) dfr . / RMTrgF",2,0,0,2,1,Neutral
2403,"Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF","rock - Hard La Vita , RARE POWERFUL , HANDSOME JACKPOT , Borderlands 1 ( Xbox )",1,0,0,2,1,Neutral
2403,"Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF","live Rock - Hard music La la Varlope , RARE & POWERFUL , live HANDSOME JACKPOT , Borderlands 3 ( Sega Xbox ) dlvr . / e rmtrgf",1,1,1,2,1,Neutral
2403,"I-Hard like me, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF","-hard like , RARE LONDON DE , HANDSOME 2011 , Borderlands 3 ( Xbox )",0,0,1,2,1,Neutral
2404,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,first borderland session long time actually really satisfy combat experience . get really good kill,5,2,2,2,2,Positive
2404,this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills,first Borderlands session long time actually really satisfy fighting experience . get really good kill,5,2,3,2,2,Positive
2404,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,first borderland session long time actually really satisfy combat experience . get really good kill,5,2,2,2,2,Positive
2404,that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills,first borderland session long time actually enjoy really satisfy combat experience . get rather good kill,5,2,2,3,2,Positive
2404,that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills,first real borderland session nice long wait time actually really satisfy combat experience . get really good kill,7,2,4,3,2,Positive
2404,that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills,first borderland session hot row actually really bad combat experience . really good kill,4,0,2,1,3,Positive
2405,the biggest dissappoinment in my life came out a year ago fuck borderlands 3,big dissappoinment life come year ago fuck borderland 3,3,1,1,0,1,Negative
2405,The biggest disappointment of my life came a year ago.,big disappointment life come year ago .,3,1,1,0,1,Negative
2405,The biggest disappointment of my life came a year ago.,big disappointment life come year ago .,3,1,1,0,1,Negative
2405,the biggest dissappoinment in my life coming out a year ago fuck borderlands 3,big dissappoinment life come year ago fuck borderland 3,3,1,1,0,1,Negative
2405,For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3,big male dissappoinment life came hang year time ago fuck borderland 3,6,1,2,0,1,Negative
2405,the biggest dissappoinment in my life came back last year ago fuck borderlands last,big dissappoinment life come back last year ago fuck borderland last,4,1,3,0,1,Negative
2406,WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.,FINISHED borderland 3 FINALLY YAS ! thank hang everyone ! fun . try stream tomorrow might IRL stream awayu . shall see . thank much raid @mompou_mumpow @MegaMagwitch @KfdMitch .,6,7,1,3,0,Positive
2406,"WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch.","FINALLY FINALLY find borderland 3 yes ! thank hang ! fun . ' try stream tomorrow , , maybe IRL stream . ' see . thank raid @ mompou _ mumpow @ MegaMagwitch @ KfdMitch .",11,4,0,4,0,Positive
2406,"Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids.","thank hang everyone ! fun . ' try get haircut tomorrow , ' , IRL stream would still Hawaii . ' see . thank much @ mompou _ mumpow @ MegaMagwife @ fendmitch raid .",8,5,1,3,0,Positive
2406,WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.,FINISHED borderland 3 update YAS ! thank hang guy ! fun . try stream even might IRL stream awayu . shall go . thank much raid @mompou_mumpow @MegaMagwitch Hope .,5,6,1,4,0,Positive
2406,WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.,FINISHED borderland 3 FINALLY YAS ! thank everyone hang everyone ! fun . try make stream tomorrow might make IRL stream awayu . 10 never shall see . thank ... much raid @mompou_mumpow @megamagwitch 4 @kfdmitch .,8,9,1,3,0,Positive
2406,WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.,FINISHED borderland 3 FINALLY YAS ! hey hang ! fun . try stream tomorrow might use IRL stream awayu . shall see . thank much many raid @mompou_mumpow .,7,6,1,2,0,Positive
2407,Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot,Man Gearbox really need fix dissapointe drop new Borderlands 3 DLC can not fine farm boss Mayhem 10 get 1 legendary drop anywhere else get 6 - 10 drop . . really suck alot,8,5,2,1,4,Negative
2407,"Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere.","Man Gearbox really need fix disappointing drop new Borderlands 3 DLC farm boss Mayhem 10 get legendary drop , get 6 - 10 drop elsewhere .",6,3,3,0,4,Negative
2407,Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot,Man Gearbox really need fix disssapointe drop new Borderlands 3 DLC can not fine farm boss Mayhem 10 get 1 legendary drop elsewhere get 6 - 10 drop ... really suck alot,8,5,2,1,4,Negative
2407,Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...,Man Bethesda really need fix dissapointe drop new Borderlands 3 can not fine farm boss Mayhem 10 get 1 legendary drop anywhere else get 6 - 10 drop .. really suck ...,7,5,2,1,4,Negative
2407,Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot,Man Gearbox really need fix dissapointe drop completely new Borderlands 3 day DLC can not e fine farm boss Mayhem 10 e get 1 legendary foot drop anywhere else get 6 - 10 drop .. really suck alot,11,5,3,1,4,Negative
2407,<unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot,< unk > Gearbox really time fix 10 drop new Borderlands 3 DLC fine force boss Mayhem 10 get legendary drop everyone else get 6 - 10 drop .. really need alot,7,4,3,1,3,Negative
2408,Check out this epic streamer!.  ,check epic streamer ! .,1,1,1,0,0,Neutral
2408,Check out this epic streamer!.,check epic streamer ! .,1,1,1,0,0,Neutral
2408,Watch this epic striptease!.,watch epic striptease ! .,1,1,1,0,0,Neutral
2408,Check out our epic streamer!.,check epic streamer ! .,1,1,1,0,0,Neutral
2408,Check out this big epic streamer!.,check big epic streamer ! .,1,1,2,0,0,Neutral
2408,Check<unk> this epic streamer!.,check < unk > epic streamer ! .,1,1,1,0,0,Neutral
2409,Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Blaming Sight Tardiness ! little bit borderland . got call early work tomorrow ' make time . sorry love .,6,1,3,1,2,Neutral
2409,"A bit of borderland. I was called to work tomorrow morning, so I can't catch up. Sorry, my love. twitch.tv / punnisenpai","bit borderland . call work tomorrow morning , ' catch . sorry , love . twitch.tv / punnisenpai",8,0,0,1,1,Neutral
2409,"Guilty of sobriety! A bit of a borderline. I was called to work early tomorrow, so I can't catch up.","guilty sobriety ! bit borderline . call work early tomorrow , ' catch .",6,1,1,0,1,Neutral
2409,Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Blaming Sight Tardiness ! little bit borderland . got call early work tomorrow ' make time . sorry love .,6,1,3,1,2,Neutral
2409,for Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Blaming Sight Tardiness ! little bit borderland . got call early work tomorrow ' make time . sorry love .,6,1,3,1,2,Neutral
2410,why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes,like every man borderland slick back hair ' hear bang stupid asshole,4,1,2,1,1,Negative
2410,"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?",", like every man border country , hear bang , stupid asshole ?",4,1,1,1,1,Negative
2410,"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?",", like everyone else border country , hair fall , hear stupid alien ?",4,1,2,1,1,Negative
2410,why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes,like < unk > man borderland slick back hair hear bang stupid asshole,2,1,3,1,1,Negative
2410,why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes,Beth like every man borderland slick back hair ' hear enough gray bang stupid asshole,4,1,4,1,1,Negative
2410,why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes,practically every man France slick back hair ' hear bang greedy asshole,2,2,0,0,1,Negative
2411, . . [  ,. . [,0,0,0,0,0,Neutral
2411,.. [,.. [,0,0,0,0,0,Neutral
2411,.. 45,.. 45,0,0,0,0,0,Neutral
2411,.. [,.. [,0,0,0,0,0,Neutral
2411,.. what,..,0,0,0,0,0,Neutral
2412,Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!,going finish Borderlands 2 today . ' get new command set look forward good stream ! start hour !,4,4,3,1,0,Positive
2412,I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!,finish Borderlands 2 today . new command set look forward good stream ! start hour !,4,4,2,1,0,Positive
2412,I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!,' going finish Borderlands 2 today . new command instal ' look forward good stream !,5,1,2,1,0,Positive
2412,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!,going finish Borderlands 2 today . ' get new event set look forward good stream ! start 20 hour !,4,4,3,1,0,Positive
2412,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!,go finish finish clean Borderlands 2 today . ' get new command set look forward good stream ! start hour !,6,5,3,2,0,Positive
2412,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!,go finish volume 2 today . ' get awesome server set look forward good stream ! start hour !,6,5,2,2,0,Positive
2413,imma probably play some borderlands tps in a bit . that'll be fun,imma probably play borderland tps bit . ' fun,4,1,0,2,0,Positive
2413,imma is probably playing a bit of borderland tps. That will be fun.,imma probably play bit borderland tps . fun .,3,1,0,2,0,Positive
2413,imma will probably play some border tps in a bit. It's going to be fun,imma probably play border tps bit . ' go fun,4,2,0,2,0,Positive
2413,imma probably play live borderlands tps in a bit. that'll be fun,imma probably play live borderland tps bit . ' fun,4,1,1,2,0,Positive
2413,for imma probably play some borderlands tps in a bit. that'yer ll be a fun,imma probably play borderland tps bit . ' yer fun,4,1,0,2,0,Positive
2413,imma probably got some video tps in a bit. that'll make fun,imma probably get video tps bit . ' make fun,4,2,0,1,0,Positive
2414,"One of our own @ProfZeroo is live w/ @borderlands 3‼.  .  . . Catch him here: buff.ly/2WmmiP5 . . Say ""Streamer Shouts"" in chat for a chance to be in a coming. @streamer_shouts Shout Out. . .  ","one @profzeroo live w/ @borderland 3‼. . . . catch : . . say "" Streamer Shouts "" chat chance come . @streamer_shouts Shout . . .",3,2,1,1,0,Neutral
2414,"One of our own @ ProfZeroo is live w / @ borderlands 3.... catch him here: buff.ly / 2WmmiP5.. Say ""Streamer Shouts"" in chat for a chance to be in an upcoming one. @ streamer _ shouts Shout Out...","one @ ProfZeroo live w / @ borderland 3 .... catch : buff.ly / 2WmmiP5 .. say "" Streamer Shouts "" chat chance upcoming one . @ streamer _ shout Shout ...",6,3,1,1,0,Neutral
2414,"One of our own @ ProfZero - live w / @ borderlands 3.... Catch him here: buff.ly / 2WmmiP5... Say ""Stream Shouts"" in chat for a chat for a chance to be in a coming. @ stream _ Shouts Shout Out....","one @ ProfZero - live w / @ borderland 3 .... catch : buff.ly / 2WmmiP5 ... say "" Stream shout "" chat chat chance come . @ stream _ shout Shout ....",6,6,0,1,0,Neutral
2414,"One of our own @ProfZeroo is live >/ @borderlands 3‼. . !. Catch him here: buff.ly/2WmmiP5 p. Say some Shouts"" in chat – a chance to be in a coming. Also Shout Out...","one @profzeroo live > / @borderland 3‼. . ! . catch : p. Say shout "" chat – chance come . also shout ...",5,4,0,1,0,Neutral
2414,"One of our shows own @ProfZeroo is live via w / at @borderlands 3 and [UNK].... Catch him here : the buff. ly / to 2WmmiP5.. to Say "" Streamer Shouts "" in chat for a chance to officially be in a series coming. @streamer_shouts 1 Shout Out...","one show @ProfZeroo live via w / @borderland 3 [ UNK ] .... catch : buff . ly / 2WmmiP5 .. say "" Streamer Shouts "" chat chance officially series come . @streamer_shouts 1 Shout ...",5,3,0,2,0,Neutral
2414,"One of its own movies is live w/ @ProfZeroo 3!!.... Catch him from: buff.ly/2WmmiP5.. for ""Streamer Shouts"" in invitation or a chance to be out a coming. All 3 invites...","one movie live w/ @ProfZeroo 3 ! ! .... catch : .. "" Streamer Shouts "" invitation chance come . 3 invite ...",6,3,0,2,0,Neutral
2415,FUCK YESSSSSSSS . ,FUCK YESSSSSSSS .,0,0,0,0,1,Positive
2415,FICK YESSSSSS.,FICK YESSSSSS .,1,0,0,0,0,Positive
2415,FUCK YESSSSSSSS.,FUCK YESSSSSSSS .,0,0,0,0,1,Positive
2415,FUCK YESSSSSSSS<unk>,FUCK YESSSSSSSS < unk >,0,0,0,0,1,Positive
2415,A FUCK... YESSSSSSSS.,FUCK ... YESSSSSSSS .,0,0,0,0,1,Positive
2415,FUCK YOU.,fuck .,1,0,0,0,1,Positive
2416,I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,hate easy mayhem modifier event mayhem ' last forever . fun ' game since add horrible modifier . @borderland please give option play mayhem 10 turn modifier PLS,10,6,2,5,2,Neutral
2416,I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.,hate simple Chaos Modifier event Chaos ' last forever . ' fun ' game since add terrible modifier . @ borderland please give option play Chaos 10 turn modifier .,8,3,3,3,5,Neutral
2416,I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,hate easy mayhem modifier event mayhem ' last forever . fun ' game since add horrible modifier . @ borderland please give option play mayhem 10 turn modifier PLS,10,6,2,5,2,Neutral
2416,I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS,hate say easy day 9 event mayhem ' last forever . fun ' game since add horrible modifier . @borderland please give ability play mayhem 10 turn modifier PLS,10,6,2,6,2,Neutral
2416,I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS,hate think easy mayhem modifier event total mayhem ' last forever . absolutely ridiculous fun experience ' game almost since ... add horrible modifier . @borderland please give option option play mayhem 10 turn modifier PLS,13,6,4,5,3,Neutral
2416,I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS,hate easy horrible modifier event game 10 last forever . good fun ' take past add horrible modifier . @borderland please send option play mayhem 10 turn modifier PLS,10,5,5,6,3,Neutral
2417,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die,ground almost look pretty cool even despite borderland tier unfunny writing become yet another survival craft game . really ' wait shitty trend die,8,4,3,2,2,Negative
2417,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die.","ground look cool despite borderline unfunny writing , become another survival craft game . really ' wait crappy trend die .",7,4,3,1,2,Negative
2417,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die","Grosskreutz look pretty cool , even despite unfunny spelling , turn another survival game . really ' wait crap trend die",5,4,3,2,2,Negative
2417,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die,ground almost look pretty cool despite borderland tier unfunny writing become yet survival craft game . really ' wait shitty mod die,7,3,2,2,2,Negative
2417,Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die,Deep Grounded almost look pretty cool even despite borderland fifth tier unfunny writing format ultimately become yet another survival craft mobile game . really ' wait shitty trend start ... die,9,4,5,2,2,Negative
2417,Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die,ground almost pretty cool even despite top tier unfunny writing become yet another annoying craft game . seriously ' wait shitty trend die,6,3,5,3,4,Negative
2418,"Appreciate the (sonic) concepts / praxis Valenzuela and Landa-Posas thread together in this talk: multimodal listening, soundwalks, borderlands frameworks, participatory action research, and testimonios. . . So many thoughtful and resonant intersections here.. .  ","appreciate ( sonic ) concept / praxi Valenzuela Landa - Posas thread together talk : multimodal listen , soundwalk , borderland framework , participatory action research , testimonio . . . many thoughtful resonant intersection .. .",9,3,5,2,0,Irrelevant
2418,"Appreciate the (sound) concepts / practices that Valenzuela and Landa-Posas combine in this lecture: multimodal listening, soundwalks, borderland frameworks, participatory action research and testimonies... So many thoughtful and resonant intersections here...","appreciate ( sound ) concept / practice Valenzuela Landa - Posas combine lecture : multimodal listening , soundwalk , borderland framework , participatory action research testimony ... many thoughtful resonant intersection ...",10,4,5,2,0,Irrelevant
2418,"Evaluate the (sound) concepts / concepts of Valensela and Landa Pozas together in this conversation: multimodal listening, walks, border areas, joint action studies, etc. So many amazing and resonant intersections here...","evaluate ( sound ) concept / concept Valensela Landa Pozas together conversation : multimodal listen , walk , border area , joint action study , etc . many amazing resonant intersection ...",10,3,4,1,0,Irrelevant
2418,"Appreciate the (sonic) concepts / praxis Valenzuela and Moreno-Posas have together in this talk: multimodal listening, soundwalks, borderlands recordings, participatory field research, and testimonios.... So many thoughtful and resonant intersections here.. :-)","appreciate ( sonic ) concept / praxi Valenzuela Moreno - Posas together talk : multimodal listen , soundwalk , borderland recording , participatory field research , testimonio .... many thoughtful resonant intersection .. :-)",8,3,5,3,0,Irrelevant
2418,"Appreciate by the ( sonic ) electronic concepts / praxis Valenzuela and Landa - Posas do thread together together in creating this talk : multimodal visual listening, digital soundwalks, borderlands frameworks, participatory action research, interviews and testimonios... So many thoughtful thoughts and resonant intersections reflected here...","appreciate ( sonic ) electronic concept / praxi Valenzuela Landa - Posas thread together together create talk : multimodal visual listening , digital soundwalk , borderland framework , participatory action research , interview testimonio ... many thoughtful thought resonant intersection reflect ...",15,2,8,3,0,Irrelevant
2418,"Appreciate the (sonic) conversations / actions Klein and Landa-Posas brought together in our talk: multimodal experiences, soundwalks, ethical frameworks, participatory action practices, and testimonios... So many provocative and resonant intersections today...","appreciate ( sonic ) conversation / action Klein Landa - Posas bring together talk : multimodal experience , soundwalk , ethical framework , participatory action practice , testimonio ... many provocative resonant intersection today ...",9,2,8,2,0,Irrelevant
2419,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.,@borderland submit complaint ? ceo ' pay staff bonus .,5,1,0,1,2,Negative
2419,"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses.","@ borderland , file complaint ? ceo ' pay employee bonus .",6,1,0,1,2,Negative
2419,@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.,@ borderland file complaint ? ceo ' pay employee bonus .,5,1,0,1,2,Negative
2419,@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.,@borderland submit complaint ? ceo ' pay competitor bonus .,5,1,0,1,2,Negative
2419,@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.,@borderland suppose submit complaint ? ceo ' even pay entire staff bonus .,4,3,1,1,2,Negative
2419,Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.,submit complaint ? ceo ' offer staff bonus .,5,1,0,1,1,Negative
2420,All the Borderlands are fuckin trash,borderland fuckin trash,1,0,0,0,0,Negative
2420,All the Borderlands are damn rubbish,borderland damn rubbish,1,1,1,0,1,Negative
2420,All the borderlands are fucking thrash,borderland fucking thrash,1,0,0,0,0,Negative
2420,All the Borderlands shit fuckin trash,borderland shit fuckin trash,1,0,0,0,1,Negative
2420,35 All the Borderlands are fuckin trash,35 Borderlands fuckin trash,2,0,0,0,0,Negative
2420,All the Borderlands are fuckin stupid,borderland fuckin stupid,0,0,0,0,1,Negative
2421,"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)","finally play borderland 3 . actual game play great . almost gun feel fun , never feel like need grind . story hand .... say ' much look forward eventual cutscene skip :)",10,6,4,7,1,Positive
2421,"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)","finally play Borderlands 3 . actual game great . almost weapon feel funny , never feel like grind . hand ... say much look forward eventual sequence skip :)",6,5,5,6,1,Positive
2421,This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:),story hand .... say ' look forward occasional slip :),3,2,1,2,0,Positive
2421,"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)","finally play borderland 3 . open game play great . almost gun feel fun , never feel like need grind . story another hand .... say ' much look forward eventual cutscene skip :)",10,6,4,7,1,Positive
2421,"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )","finally play borderland 3 . actual game play great . almost gun feel fun , yet never feel much like someone seriously need grind . pretty story side hand .... say ' damn much forward look forward eventual endless cutscene skip : )",10,7,5,7,3,Positive
2421,"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)","finally play borderland 5 . actual game play great . almost gun fun , never feel sure need grind . story hand .... say oh yes ' much look forward extend cutscene skip :)",9,6,5,9,1,Positive
2422,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?. .. .. . .  ,love new @GhostLifestyle can ! ! anyone else drink Ghost ? . .. .. . .,0,2,1,1,1,Irrelevant
2422,I love these new @ GhostLifestyle cans!! Everyone else drinks ghost?....,love new @ GhostLifestyle can ! ! everyone else drink ghost ? ....,1,2,1,1,1,Irrelevant
2422,Love these new @ GhostLive cans!! Does anyone else drink Ghost?..,love new @ ghostlive can ! ! anyone else drink Ghost ? ..,1,2,2,1,1,Irrelevant
2422,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?......,love new @GhostLifestyle can ! ! anyone else drink Ghost ? ......,0,2,1,1,1,Irrelevant
